"...1","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
4484347,2416082,"HH717568","10/16/2002 09:25:32 AM","007XX E 37TH PL","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","CHA APARTMENT",FALSE,FALSE,212,2,4,36,"02",1181623,1880248,2002,"04/15/2016 08:55:02 AM",41.82663528,-87.609161883,"(41.82663528, -87.609161883)"
4484774,2416669,"HH732049","10/22/2002 11:09:33 PM","103XX S COTTAGE GROVE AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","STREET",FALSE,FALSE,512,5,9,50,"02",1182698,1836734,2002,"04/15/2016 08:55:02 AM",41.707203646,-87.606566877,"(41.707203646, -87.606566877)"
4484815,2416716,"HH729862","10/17/2002 09:00:00 AM","071XX S PEORIA ST","0266","CRIM SEXUAL ASSAULT","PREDATORY","APARTMENT",FALSE,FALSE,733,7,17,68,"02",1171540,1857531,2002,"04/15/2016 08:55:02 AM",41.764524631,-87.646819874,"(41.764524631, -87.646819874)"
4485503,2417544,"HH729886","10/20/2002 01:00:00 AM","044XX N DRAKE AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","RESIDENCE-GARAGE",FALSE,FALSE,1723,17,33,14,"02",1151924,1929266,2002,"04/15/2016 08:55:02 AM",41.961780855,-87.716830179,"(41.961780855, -87.716830179)"
4486215,2418463,"HH736261","10/24/2002 07:50:00 PM","015XX W OHIO ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","OTHER",FALSE,FALSE,1324,12,26,24,"02",1165915,1904103,2002,"04/15/2016 08:55:02 AM",41.892444409,-87.666111255,"(41.892444409, -87.666111255)"
4487443,2419876,"HH732129","10/22/2002 10:55:00 PM","026XX W LAWRENCE AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","ALLEY",FALSE,FALSE,2031,20,40,4,"02",1158087,1931785,2002,"04/15/2016 08:55:02 AM",41.968569215,-87.694102327,"(41.968569215, -87.694102327)"
4487610,2420094,"HH732846","04/02/2002 12:01:00 AM","016XX N ST LOUIS AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,FALSE,1422,14,26,23,"02",1153012,1910643,2002,"04/15/2016 08:55:02 AM",41.910656344,-87.713325226,"(41.910656344, -87.713325226)"
4488105,2420732,"HH737335","10/24/2002 08:15:00 PM","041XX W FOSTER AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","PARK PROPERTY",FALSE,FALSE,1712,17,39,13,"02",1147937,1934237,2002,"04/15/2016 08:55:02 AM",41.975499415,-87.731360362,"(41.975499415, -87.731360362)"
4488302,2420973,"HH736633","10/25/2002 02:00:00 AM","059XX W MADISON ST","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","SIDEWALK",FALSE,FALSE,1513,15,29,25,"02",1137027,1899407,2002,"04/15/2016 08:55:02 AM",41.880125398,-87.772318935,"(41.880125398, -87.772318935)"
4488970,2421825,"HH739501","10/23/2002 02:00:00 AM","002XX N LA CROSSE AVE","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","RESIDENCE",FALSE,TRUE,1532,15,28,25,"02",1144000,1901219,2002,"04/15/2016 08:55:02 AM",41.884969809,-87.746669075,"(41.884969809, -87.746669075)"
